TID,POST,LABEL
826,"Many sufferers of depression aren't sad; they feel nothing at all, or a persistent and nagging anxiety.",0
206,very happy!! coz he went h0me na!! haha.. i'm very excited for sunday!!,1
181,Watching the sound of music  happy place.,1
994,@CatalinaCruz its so good and so nice ;) haha that i will  hope you're having an awesome day!,1
479,@LenkaMusic won't you share a pic of your awesome hotel room view for your fans on twitter?  can't wait for your concert on monday!,1
771,my depression mainly manifests in apathy for everything and nothing giving me pleasure so to have passion coming back for the things I like including makeup and wanting to start new hobbies.... that's really neat,0
390,happy mothers day to all..im gonna help mine right now.she deserves it..you guys should too..,1
681,"Looking ahead, ready to make this an awesome week. I want to get to Sunday night and know I totally rocked it! Here we go, woohoo ",1
443,@Mileycyrus said hello to hk ... im soooo happy ... luv her soooo much,1
461,The ADD and Autism are known the other. The depression and anxiety are not officially diagnosed but are no surprise  pic.twitter.com/THE7p8xxKZ,0
902,@mileycyrus I love you o most awesomest devine delight of my life  How's my memory lol,1
543,"with depression. On the other hand hes misinformed on hyperfixations, it was stupid of him to speak on a subject hes uneducated on and i encourage he take 5 minutes for a simple google search. A formal apology about his past will only gives more ammunition to the people that+",0
730,@SadeXposed thankies,0
76,My fave drummer @trvsbrkr did a remix of my fave rapper @Eminem's 3AM! I can die happy now   (http://bit.ly/KXAcG),1
159,"Really bad take, what would you have him do? Not try and help because he has money?

Obviously have more money gives you better options, but it does not fix everything. I was extremely poor for a long time with depression and i beat it.",0
195,when you had a good day but the depression kicks in and drags you into a hole of loneliness and sadness,0
944,wolverine = awesome,1
647,"People are so biased these days, they follow anything said by their favourite person blindly. 🙂, whatever it may be the truth will prevail, what I think a person who is in depression  will not be able to learn coding,may be commoners won't get that.",0
345,@IWillKing when did u become so awesome? Lol,1
543,once libertas get 0 seats i'll be happy  #eu09,1
77,@lopezwilfred Yeah. Me too. Will lookout on your tweets too. Happy Tweeting,1
953,@siana_mia So happy our Sox won today!,1
558,"It’s absolutely free & all you have to do is join my group to take part in the challenge.
Click here  https://www.facebook.com/groups/436237693914544/ … to join & please answer the group questions
#mentalwellbeing #mentalhealthmatters #mentalillness #anxiety #depression #lockdown",0
598,@luvara :O no fair! *hug* happy birthday though,1
149,"Today's daily cycle of over thinking and depression came a lil early, happy Wednesday :-)))))",1
141,@lebrect52 Just wanted to say hi. Once you get used to twitter-it is the best. Met awesome people here. Take care,1
385,Everyone follow @madierox coz she's awesome town.,1
286,"Alle haben Spaß, außer mir. Warum? Ich sitze lieber zu Hause, weil das weniger Stress bedeutet und angenehmer ist.
Und dann bin ich neidisch auf die gemeinsamen Erlebnisse der anderen.
Danke Leben. Depression kann so scheiße sein.",0
399,Eww lol my twitter looks depressing lol happy time  out eating breakfast  ooober hungry! Ice cream shall b my eggs lol,1
776,organic wine kills. and and also: happy birthday old morrissey,1
477,"ha, everybody is saying goodnight to twitter @heycassadee Twitterroos @selenagomez night  umm ok thats it!night!",0
567,@hsivaram awesome  it was an amazing talk,1
512,Happy Mum's day ppl,1
478,Depression is a mental illness and I thought y’all was “Helping him”,0
637,"Still ready to die on the hill that Captain America died a virgin. Peggy carter didn't give him shit in the past. 

Spent a lifetime there drinking and wasting away in depression and then he came back and lied to the avengers.",0
779,"@Jonasbrothers Sounds awesome! I hope you're having fun, and I can't wait to see it! Good luck with the rest of rehearsals! ",1
681,the problem is that when you are in the grip of heightened anxiety or locked in the pit of depression this isn't necessarily true. Anxiety and depression can rob us of agency. Sometimes we need help and intervention.,0
867,"No deadass, when I'm having a bad depression day I swear I'm not ignoring you I just sincerely lose the ability to understand words  https://twitter.com/_dafnyy/status/1289387815919222784 …",0
875,"Having survived many episodes of loss, failure, disappointment, bad relationships, bad jobs, poverty, depression, health problems, career setbacks, toxic friendships, I come to realise that most worries in life are exacerbated by our fears and attachments.",0
981,I’m sure my mood is more important to my emotional well being then random people acting like complete fools on twitter or in real life. Once I solve my problems relating to depression and anxiety I’ll probably be fine. It’s just too much sometimes.,0
125,"Take it back, don't trust my friend. Not depression break or anything just want to vibe with irl friends for now. Hoping to get better Sea of Thieves (possible content for channel) and vibe to synthwave.",0
956,Another piece I've written today #mentalhealth #mentalillness #anxiety #SuicidePrevention #depression #Autism #ItsOkayToNotBeOkayEP13 #EndTheStigma @JessieJoeJacobs @opti_me @PropsMHealth @TalkandsupportJ @messy4mind @mhwshow @BBDCbook @randcmind @RCAmbassadors @ctempestoso1 pic.twitter.com/EH9gqRVtyp,0
865,@anniewetherbee just make sure your happy alone before you share your life with someone else.  How old are you?,1
192,So happy for my brother and sister-in-law right now! Keeping my fingers AND toes crossed!,1
62,Happy Birthday @PCIGU,1
244,thinks you should read her real blog: www.lisarcastic.blogspot.com  it's awesome; like me *lol*,1
251,As someone who has struggled with depression and suicide ( 2 attempts) I can say logic is soft as tissue paper for letting what's said on a podcast cause him so much grief. My nigga I didn't know where my next rent check was coming from and had 2 kids and a wife to provide for,0
871,"@amyerichards Happy mother's day!   If you were in Guatemala, there would be firecrackers at 4am in your honor!",1
43,"@TwilightFilmz Not too sure but there was a message on his Facebook asking people with depression to talk to someone etc, so a sad story it seems.",0
739,why does mikrokosmos give me post concert depression 😭 I haven't even been to a concert 😭😭😭😭,0
275,@poutkyuns I have depression too and I start counseling next month.All I want is to be happy again,1
666,"You seem to forget that more jobs have disappeared on your watch than in the Great Recession. The GDP is as low as the Depression. Trying your false distractions again. Resign now. The families of the 150,000+ who have died d/t your negligence will vote against you.",0
957,"When I was 21, I moved back to my parents home with depression and sadness filled me. I had very hard years to go through.",0
829,@effyobie OMG THANK YOU NIKKI FOR VOTING FOR HIM! YOU'RE AWESOME,1
293,"expressing frustration, depression, and anger about the lockdown situation (especially in america) but also adhering to it because you know it is the right thing to do are two mindsets that can and should coexist",0
460,"Depression is a serious bitch. It weighs each of us down differently. I know it's almost gotten me at least a few times. Take your time, do you.",0
9,Just a simple girl..oatmeal makes me really happy in the morning..and the blooming wisteria,1
444,has post from Logical Awesome! It's an envelope full of Github stickers! Yay!,1
822,"Desperation always causes some, otherwise lawful people to commit many crimes, theft, abuse, murder, beatings. The incompetence of the current POTUS will long be remembered as causing the greatest desperation and depression the world has ever seen. Thanks Donny!  https://twitter.com/maggienyt/status/1289917970702127111 …",0
1,"At 18 this was me too. The only difference was I didn't have access to drugs, I was on depression and anxiety meds, seeing a lot of counsellors too, because of everything that was going on. But I'm now just turned 21 a day ago and happy.  https://twitter.com/biebosbitch/status/988485758792105984Â â¦",1
452,"She was awesome @CoronadoCookie http://twitpic.com/6tz24 Pic is misleading. She was bigger IRL. She was going tanning, not laying up eggs ",1
216,@mnstrsnmnchkns  it was a happy cry..,1
929,@MarisaOConnor Happy Birthday! I hope your breakfast brunch burritos were as astounding as they sounded!,1
952,for once in my life i have top say i love yall int he univerese and i belive  happy days peeps,1
875,"Ладно , это годно)",0
427,anxiety and depression are very real but don’t use it as an excuse to be shitty,0
893,If someone comes to you for comfort when dealing with anxiety or depression or any mental illness for the love of everything do not go into a story about the one time you were anxious or really sad,0
26,"Have a pic of Harry Connick, Jr. strategically placed in my office for continuous inspiration and constant swooning  #happyclam ",1
408,@ptvjaime Happy Birthday Hi-Me,1
350,"morning twits happy sunday ya'll, from a sunny Durham ",1
312,Good Morning Everyone! My heart is happy and smiling this morning. I hope your's is too,1
983,@ednarheiner ill be happy to tweet with ya as well  &quot;tweet tweet&quot; lol.,1
307,Happy Gilmore is on,1
252,Proof that you will never know that the person you are hanging out with is suffering from depression and they have mastered the art of hiding it well. Be kind. Be gentle.  https://twitter.com/toymango/status/1289823112259760129 …,0
21,"My substance abuse has fuelled a massive change in me, my MH and my depression.

As I flourish and develop I wonder if I'm just killing the braincells that make me depressed or if I'm actively routing them and developing new neural pathways away from them.

#neurodiversesquad",0
662,is so happy she has tomorrow off before starting summer school hours on Tuesday.   I'm going to enjoy this long weekend business!,1
964,@heycassadee hi cassade hope your having an awesome time touring.,1
703,is so excited!! Ready for the awesomeness of the communal driveway!,1
472,"Research has shown that green spaces, whether indoors or outdoors, can lower symptoms of anxiety, depression, and other mood disorders, as well as make us feel more socially connected.  http://ow.ly/vZJG50AMkvq ",0
880,@heylandsberg @sadTOsportsfan Everyday presents a new challenge. I'm doing my best to make sure the world knows... It's ok to have depression and it's not ok to put other people down #love #peace #chainlink<Emoji: Link symbol> #supportmentalhealth,0
578,"I remember wanting to be a medical examiner or coroner all throughout highschool and i was actually super into it, then depression and other things hit me hard and all my passion and interest for most things in life faded away.",0
42,"@TrustNoOne69 awwwww, you deserve to have this team dedicated to you, cause just simple: You are awesome! ",1
487,"..my mother just WON the City of Terrell, Texas District 2 'City Council' Seat  ..i'm M.i.A lol HAPPY MOTHERS DAY",1
993,Is remembering how awesome service was yesterday,1
379,"If you don't think your anxiety, depression, sadness and stress impact your physical health, think again  pic.twitter.com/OeBRRYGZvM",0
811,@adrianacisneros yea! the insurance is gonna pay for it all! I was so happy! lol I'm taking it tommorrow,1
653,"...YT. It made me so happy. You guys are so amazing. I love you all... Thank you  Oh, and goodmorning, may your day be as good as mine ",1
161,@MyNameIsGaron Thanks for sharing Garon! Fellow anxiety/depression and effexor pal over here. You are awesome and it's huge step. You deserve to be content and fulfilled and loved (by yourself and others!),1
509,"Well the video preview in search results of Bing is awesome , Go Bing ",1
720,I tell you depression is a real thing not just an ordinary sadness. Sape yg penah rasa je tahu sakit dia cm ne <Emoji: Relieved face>,0
947,Depression & alone,0
849,@itswendylou Thank you  Happy Saturday to you too!,1
418,"She's not a 'medical practitioner', no Hippocratic oath.She's a clinical psychologist. I think it's a BSc or MA or fellowship degree. She's just supposed to do initial counselling & refer to proper MD psychiatrist for further treatment.not use terms like 'bipolar', depression",0
255,My thoughts are with Josep Illicic. Depression is serious. His wife should be ashamed it’s disgusting to cheat on someone,0
580,Is soooo Happy cos things have changed .. and 4 the better,1
916,@sadknob  good thing P &amp; K have their day jobs!,1
900,"@YTD_QF don't shut down please, just keep upgrading up up and up, flow smoothly and be happy ",1
322,Going to work hungover is awesome! Lol good thing there coffee and swiss rolls,1
467,"YES! AWESOME! Federer moving on to Finals, I believe ",1
714,"@markhundley Mark, you are so awesome! Thank you ",1
704,"@shawn7155 If I don't get a chance 2 talk 2 you before hand, have a most awesomest weekend &amp; I'll miss you! Be safe and be well.  Love u!",1
446,No. Only when I feel stressed. It all depression anxiety related xxx,0
161,It's sad when you realize that depression is your only true friend..,0
986,this is depressing. i’m depression. hi can someone take these FUCKING ******** AWAY PLEASE I DONT WANT THEM,0
985,i luv the #musicmonday its awesome,1
897,@amber_benson awesome..what did you tell her? No?,1
586,please please if anyone has experience with depression what has anyone important in your life done that really stuck with you? how did that person(s) get through to you and genuinely HELP/CONNECT? please any advice is welcome 🤍,0
974,1 season of depression and suffering is enough,0
738,@JMatthewFlyzik http://twitpic.com/666hg - they look so snug and happy,1
798,hope everyone has a fabulous friday and a happy &amp; safe holiday weekend! XOXO SUMMER,1
388,"Buti na lang talagang may wattpad 
Salamat na lang 
Kundi lunod na ako sa depression
🌔",0
108,My Kiery makes some seriously awesome bread... yum,1
749,Est ce vrai que #AidanGallagher à tenu des propos déplacées envers les personnes souffrant de dépression et les bloqués de son live ou aussi fait croire qu’il avait le cancer et qu’il forcerait ces fans à devenir vegan ?,0
673,I firmly believe that feeling the pain is the first and most important step to Happiness. #Feelthepain #feelthepainfreethepain #itsokaynottobeokay #mentalhealth #mentalhealthawareness #depression #depressionawareness #happy #happiness #iamhappy #behappy😊 https://buff.ly/3fjKSrN ,0
296,"But then of course there's the dark side to the lifestyle of a DJ with the stress and anxiety, it just makes me sad because people think DJs have the glamorous life but they don't, there's the struggles, anxiety, stress and depression and it really can push you off balance",0
802,My heads pounding. Off to bed! Bet you'll be happy with the 12 hours i'm not twittering again and again! lol nite everybody,1
531,Song Of The Day..... RUN DON'T WALK by HEY MONDAY.... cassadee rocks out like 24/7 love her,0
151,@heycassadee hi cassade hope your having an awesome time touring.,0
422,@Chaelala Happy birthday Chaela! Love yoooooous.,1
423,ALOOOOOTTTT of ppl suffer from depression and dont even know iy,0
172,so happy,1
505,Why depression? Feeling lonely that's why depressed or depressed that's why feeling lonely,0
57,@asad_afzaal Its not depression if you're like this since YOU ARRIVED IN THIS WORLD.,0
209,Finally decided &amp; looking forward to my month relaxation &amp; happy times with family &amp; friends,1
30,Guess who deserve happiness ? Instead of depression,0
531,"Watched my Dad die with double pneumonia and lung sclerosis. It definitely isn't a lovely slipping away. She's a horrible person and really you'd think as she's written and spoken at length about bee own battle with depression, she'd attempt to be a better human. Vile. 😡",0
137,"It was heart 💔 speech by him OMG. .. 5 years , coping with stress depression anxiety nd still he did best and at the end he's unemployed , stressed and broken . He lost Monetization 😣😣😣",0
16,@AtomicLola AWESOME!  I'm glad you liked it!  I'm so jealous!,1
702,"I've found, at least with my depression l, that I go for so long without feeling anything, that when I do end up feeling something it's almost always *too* much of that emotion. It's hard to control in the moment it's happening.",0
787,Happy National Day all of Norway  Hipp Hipp Hurra for 17 Mai !!!,1
235,"if you think I'm okay, but inside I'm not okay.😔🙍‍♀️
Depression is not a joke.😔

Fighting self.✊  pic.twitter.com/zDyGTr7tYb",0
49,Happy two year anniversary to the best gurrfrann in the whole world,1
791,Perfect day in West Cork  A big happy Hello to everyone,1
600,"Xeyrox qui pour le coup à détruit le serv de GloryStar plus de 2 fois, histoire de le mettre en dépression lui et son pote (qui n'est pas LFDP)",0
609,Love you guys! I'm going to work in a few. Know why I'm so happy? Cause I get to sleep tonight!,1
393,"had an awesome and exciting morning run: met a streaker, wild pigs and a rabbit in the woods; Fannie and Sophie were beyond control ",1
543,I’ve got post-night out depression,0
338,@schnappupdates @sadbyIer @bylertrash @gaybyler @HipWillByers @BlitheVigor_ @WlLLIAMBYERS @gldfinches @noahsfool @blushybyers @goodbyerichie Here my loves. They have many amazing fics for these two. Especially stuff that should've happened in Season Two a,0
589,"@propagaxxa @bribearxoxo Technically speaking, antidepressants tend to make people who are diagnosed with depression more saddened than they were before. At least the first few months of taking them makes their depression worse.",0
10,is being lazy   its awesome!!,1
578,"I’m really beating the fuck out of depression’s ugly unnecessary unneeded unliked ass the last few weeks, I had a couple spells but I’m finally back being goofy and laughing at everything like spongebob",0
392,"""Publishing For Everybody - Titles from: Jim Ferguson / Lesley Storm / Stuart MacGregor / John Herdman / Visit Our Website! \ud83d\udc4b Fun \ud83d\udc4d Safety \ud83e\udd19 Creativity"", ",1
318,@mileycyrus You looked awesome on the Awards. Congratulations for winning.  You deserved it.,1
64,"@maeband Amazing show in Salt Lake! Loved it, super special awesome! So many words to describe it!  Thank you for all your hard work!",1
558,I'm happy and content,1
953,"@YankeeGirl20 wow...that would be awesome! i need a notebook but can't afford one, thought this might be a good &quot;inbetween&quot; thang ",1
682,@thisismyiq Happy Birthday hope ya day is filled with joy,1
886,Pretty awesome day today. Made lots of decisions. Only 12 days till Nationals start,1
841,@eddyizm so they're all torn up and awesome and look all dragged around.. but not TOO dragged around  dadblasted rain crampin my style,1
184,"@Cazzacookie68 You've probably already decided what you're going to do, but I'm not sure this person actually understands how hard depression is because they are trying to make you feel bad for not wishing them a happy birthday, so... But anyway we are al",1
52,"Love & miss you all, let’s have ice cream to cope with the post concert depression with all of you soon🥺🥺♥️ @nachimkookie @TheKatCat @almost_myself @wohingenav @hwasmoonchiId @xfarah_x @skymintz @diesemxry @hyejumoonlight @yohhhchangbin @Tuhopolttaja Happy #andthatsthechris day",0
626,@byatrobe busy! tho busy in a v diff way fr how it used to be. so far so gd..happy  thanks for asking!  glad to hear ur shoots' gg well!,1
864,Depression naps tho :(,0
610,Happy Birthday to me!,1
349,oh the rudeness morning twitterville  HAPPY HUMP DAY,1
646,5th grade was the very slow start of my severe depression but it went full force in the beginning of the 6th grade.,0
252,So deep in my depression that I just don't care about anything. Everything is lame.,0
593,Decreasing my availability to anybody that likes to project their bad vibes on ppl around them when they get moody or in their feels... I don’t wanna hear that depressed shit. Depression & Respect .. 2 dif things... that shit wack to me.,0
787,Happy 5 months babe!(: I love you so much and you make me the HAPPIEST girl in the ENTIRE world.,1
25,is happy to see @nextlevelent  ...missed ya punkin,1
425,"Happy #WellnessWednesday! Did you know #massagetherapy can help with symptoms of depression and anxiety, hypertension, and more? Visit our website to read our Research & Resources page and book your next appointment online! #yyc #massagecalgary #yychealth #yychealthyliving #rmt pic.twitter.com/jnSRMbDASU",1
558,"n acredito q o meu verão vai ser isto, no wonder my depression is the way it is",0
606,"is happy for BFF.  Gujab, Lakers!  http://plurk.com/p/x4gcx",1
107,"I got the cuddles and besitos I wanted, yet my ass is still sad. Damn, depression is wild <Emoji: Sneezing face>",0
757,(c) all around us and I just shake my head.:: My apartment looks like this because I have sunk into such a depression that I have no desire to care anymore. The only brief moments of clarity that I have had where I could actually breathe is when I was out with a friend as a (c),0
263,"Goodbye oppressed town of Colorado, Hello HAPPY town!  Not going to let it bring me down!",1
23,happy mothers day! im gunna crawl up in a ball and act like i dont exist  lmfaoo,1
894,"@adamrocks Oh you've watched 3 already, awesome ",1
228,"Sitting on the deck with Robert Holden, author of Be Happy.  A beautiful man and gifted coach. I'm happy ",1
739,Sir hum students future hai india ka yadi hum hi mentally Or phycally disturb ho fahe hai exam ke karan kya rah gya hai pdahi me ab 8 semester me se 7 semester ke exam diye hue hai kya unke marks ke adhar pr humko promotion nahi mil skta sir sabhi students depression m ja rahe h.,0
613,http://bit.ly/12TOOU  yayyyy  I'm very happy right now,1
229,"But also for those modeling jobs, I think that the scarring from this surgery would be much more of a deterrent than being a couple inches too short.",0
817,getting ready the with minnie and @vicdelesseps.   so happy,1
717,Ok I'm sad depression nap time <Emoji: Sleeping face>,0
352,"I understand life and reflect on it well, and sometimes I face accidents. But I quickly return to my consciousness because I do not want to go back and fall into the depression hole. My life has changed now. I love my family very much.",0
129,@kuttyedathi aw.. that's sad.. enjoy the working long weekend then..,0
835,my depression. I've had it for years now. feels like too much of a burden if I still talk about it. I've just entirely stopped telling people now.,0
287,Holy shit! I saw a tornado today &amp; I got some SWEET pictures of it from the roof. I've always wanted to see a tornado. It was awesome!,1
586,She may know him very well but not know psychiatry very well. Depression can manifest in many ways not all of which are obvious to people around (also she was an ex-gf so I don't know how close they were). But I'm repeating myself & obviously it's not getting across so I'll stop.,0
331,HAPPY MOTHERS DAY TO ALL YOU MOMS!!!!!,1
794,is happy that @lilyroseallen is recording a video for 22 defo my second fave of the its not me its you album,1
239,I hate so much that this happened to myself and my family but I thank god eternally he protected all of us. 🙏🏽 but I’m not ready to go down this road of depression again. 😔😔,0
249,@HayleyTxxx hey!  YAY! thanks!  wow ur page is awesome!!!!!,1
123,@AlissaDoan The truth hurts,0
390,watching a cheerleading competition on ESPN2. happy days,1
70,nobody talks about how anxiety and depression can cause-  https://twitter.com/_kingthebarber/status/1289382851490615296 …,0
785,Memories from last nite are all happy,1
750,"Thanks to they guys at Helly Hansen in Bozeman, MT I got the rubber player in canary!!!!!! Happy late bday to me ",1
661,"@owlonthesill oh the poor birdies! actually, they're prob happy-means the worms will be out! ",1
882,@neveroutDONe be proactive in being happy,1
338,@Ryker_x2018 I have a mental health illness called Depression it basically means I'm sad a lot and it's hard to get better,0
302,@RealBillBailey last nights gig was AWESOME!!! You rock!,1
404,"@xVAHx maybe they just dont get it, bcoz they don't even know who you are. even me. and i rspect thatanyways, be always happy ",1
497,"habis lunch sm illa,fifi,malche.. So happy to see them..  http://myloc.me/40CP",1
942,"@nottheword yum, yum.  I love quesadillas....and wallpaper for that matter tooo ",1
737,If you ever want to look as awesome as this...You should treat yourself to one of our tote bags :]Just like @NicoleDivide did!<3We support those with depression by donating 50% of our profits to @MindCharityPlease re-tweet! http://InMusicWeTrust.co.ukÂ  pic.twitter.com/X7qxH7chID,1
498,"@MasaeAnela happy birthday! I know I barely talk anymore, but I want you to know you're my biggest art inspiration ever, someone who's saved me from my depression, and always brings a smile to my face. Thank you for everything you do. You'll go so far! My",1
937,@ WildstarB - Happy Rezday Captain   - and that was quite a party!,1
651,Just had an awesome Sunday evening out  cider and curry= nom,1
889,@LaurakBuzz sadly not as deep as i thought. But I think It's farely difficult to describe paralyzing depression and the struggle to stand up for your rights.,0
867,today would be a perfect day for a wedding!  happy wedding day @lifeasjean and @ryancmartin!!,1
51,"@TheRock  You are brilliant, love your compassion  and humor and class, an awesome role model especially for children and young adults.  So happy to see you being so forthright about your mom and your mental health challenges. One request please, go deepe",1
774,@samdiazzz i'm so happy too!  can't wait till august rolls around... can you say game OVER!? its going to be a sad time for his groupies!,1
623,Had in awesomeee day )!! YAYAY  haha that rhymed.,1
430,Is There a Link Between ADHD and SAD?  http://psy.pub/2EQYvAPÂ  #ADHD #parenting #depression #mentalhealth,0
476,This 2018 edition of Venom hittin. Eddie is so inspirational. Bro doesn’t know what he has to live for or what he’s really fighting for. He’s just doing it to fight back against “the darkness” which I interpret is also synonymous with his depression.  pic.twitter.com/3HhfPdj4Sh,0
617,(Btw this speaks not at all to mental health or depression from a clinical standpoint.  Just communication with self.),0
41,Took nearly a week break from drawing because depression was kicking me hard. Hopefully by tomorrow I can get back into it.,0
521,Happy Sunday Tweeple...  Live your dreams and make every day count!!!   Continue to spread Love and Joy to others...,1
303,"@Mage I prefer purple. Especially when combined with golden, the two colours look awesome together ",1
461,Happy Birthday to my sweet boyfy!!! Turnin 22 years young!,1
537,@NadineDorries @campbellclaret is such a vile hateful individual that it has manifested it self in him as 'depression' from which he says he suffers. Is it any wonder? Rees-Mogg on the other hand is a happy decent individual,1
990,@katalystkaryn don't feel bad I'm about 10yrs older than you. Life is still great! Be happy &amp; positive.,1
810,"@sethsimonds I am grateful for a great marriage, awesome kids, and a business that rocks! I guess the rest of my family is ok too. ",1
796,"@tmstier Thanks  feeling justified to hear it from someone else. btw, LOVE the maternity photos--so beautiful! Awesome setting w/the bed.",1
786,Bon sens il s'agirait d'arreter d'utiliser depression à tord quand on est juste une grosse salope,0
342,"@DJSMOOK Was great !! laid down the final guitar rhythm tracks for two songs, and it sounded awesome after it was mixed ",1
336,"@ddlovato So basically, I believe you are a sadist. The building of anticipation was cruel and unusual. Yes. You are a sadist. hahahaha ",0
199,"""Children's poet; workshop leader for schools & libraries. Website: http://poemsforfun.wordpress.com . Email: katewilliams.poetry@gmail.com"", ",1
221,Well it was a great trip but I'm so happy to be finally headed home.,1
68,having an awesome day! cant wait until tonight!! ahahahaha!! word of the day; piercing.  &lt;3,1
953,Morimoto for dinner.  Happy birthday mommy! &lt;3,1
614,,1
404,dancinggggg      you've made me happy,1
572,@AngeJayT haha exactly  and the kiss was just awesome  Team Edward alllll the way!!  what about you?,1
843,Connaissances 🙂                                   Rapprochement ☺️                                  Sentiments 😍                                          Eloignement...🥺                                      Haine...😒 Depression.😪,0
231,On that happy note I'm heading off to bed. To-recharge my chi for tomorrow.  Good-nightweeps!,1
711,"Yes. #WhiteWorkingClass boys are being failed when it is fed to them-either directly or  indirectly-that their gender /ethnicity is redemption/ entitlement.  No one cares about their high #suicide/self-harming rate; despair/depression.

I taught guys like this when I was  teacher  https://twitter.com/iealondon/status/1289923909056438274 …",0
900,The usual. Depression.,0
457,@paulissima real life is offline too ... don't worry then ... be Happy,1
582,Being sad in cold weather is called seasonal depression. Being sad in hot weather is called a country song.,0
176,"It's a  few niggas who can put up with a shorty who suffers with depression and anxiety , who's always seeking reassurance , a shorty who has moments of overwhelming sadness for no reason .",0
838,Get an awesome twitter background  http://bit.ly/bgtweet http://bit.ly/custombg,1
339,"We can't guarantee you'll turn into Superman, but after consistent usage our customers are now feeling SUPER!!#cbd #fabcbd #fabfam #fablife #happy #honest #superman #hemp #sweet #ocean #breeze #tech #cannabiscommunity #sqad #depression #anxiety #help pic.twitter.com/GgbPTcFYKs",1
963,Why do they call it a happy meal if it tastes like a whole lot like depression?,1
933,@PaulaAbdul good morning! have an awesome time in NY!  and make sure u relax after all ur work! i luv u!,1
782,"Ich darf gar nicht daran denken. Es ist zu traurig. Was wäre wenn,bringt nichts außer Depression. Es ist nicht zu ändern,es ist wie es ist. Damit muss ich leben...#shithappens",0
197,"These were some of the ones that legit gave me post-game depression.

A bit difficult to choose between RDR 2 and Witcher as I loved both almost equally but this is my definitive Top 4  https://twitter.com/ChronoKatie/status/1289322412325175301 … pic.twitter.com/Ubrte40lFc",0
790,But the economic surprise (a full blown depression) may take quite a bit of the wind out of their sails and trump will have foiled his own campaign strategy! How Ironic!,0
645,"Bored at work, esp after Disney yesterday, which was amazing!! Cannot wait for this weekend!!  (Though I am sad Sarah's leaving me.)",0
203,"@LauraRepetti i tested on an old shirt first, which was good coz they failed, but the two i did properly look awesome ",1
235,@zacharyquinto awesome pictures of you with the president.,1
62,@markhundley hey Mark...today was GREAT! hope so for you too! happy monday by time you see this,1
495,@fureousangel  I recently did a Matrix Trilogy sitting..that was tiring but awesome (Matrix Trilogy is my favorite sci fi film story),1
464,The stimulus won't propel the depression David. The stimulus delays the inevitable and makes the hit worse when it happens.,0
963,very very very happy and slightly skinny  xx,1
637,@halfmar dude you're writing a song?? i'm sure it'll be just as awesome as the twitter song,1
819,"Loneliness, physical activity and mental health during Covid-19: a longitudinal analysis of depression and anxiety between 2015 and 2020.  https://www.medrxiv.org/content/10.1101/2020.07.30.20165415v1 …",0
